spec_path,title,first_flaky_seen_at,first_flaky_runs_ago,last_flaky_seen_at,last_flaky_runs_ago,total_flaky_runs,total_runs,severity
cypress/e2e/decide/flow_versions/analytics.cy.js,Analytics /// Test run analytics,2024-01-10T16:09:25Z,136777,2024-03-18T14:49:03Z,104528,3,1355,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// Copy and paste cell data,2024-07-08T14:15:49Z,45391,2024-07-08T14:15:49Z,45391,1,478,LOW
cypress/e2e/decide/selectionTests.cy.js,Multi selection and copy/cut paste tests /// Multi-Selection should work as expected and multi node copy and paste should work,2024-01-09T16:46:59Z,137177,2024-06-04T13:24:22Z,63104,4,1956,LOW
cypress/e2e/decide/flow_versions/archiving.cy.js,Flow Management /// Archived version and republishing archived version,2024-04-03T11:49:15Z,96604,2024-08-26T08:04:18Z,8220,4,2070,LOW
cypress/e2e/decide/flow_versions/management.cy.js,Flow Management /// Manage flow versions /// Flow versions page display,2024-02-09T20:05:39Z,122383,2024-08-15T18:01:07Z,15198,4,2076,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Outgoing webhooks and decision history. Setup and Invocation /// Setup child decision history,2024-02-15T09:38:10Z,42104,2024-02-15T09:38:10Z,42104,1,608,LOW
cypress/e2e/decide/connect.cy.js,Integration Nodes Editor /// verify CC node editor doesn't display body on GET request,2024-01-16T09:28:06Z,131314,2024-08-26T08:50:44Z,4026,3,1869,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// Run a flow,2024-03-18T14:49:11Z,104516,2024-05-22T15:36:28Z,69318,3,2074,LOW
cypress/e2e/decide/authoring/webhooksAndDecisionHistory.cy.js,Setup webhooks and test decision history /// Parent flow decisions should result in child flow decision history entries,2024-08-08T10:45:28Z,21066,2024-08-08T10:45:28Z,21066,1,717,LOW
cypress/e2e/decide/connect.cy.js,Integration Nodes Editor /// verify CC node editor displays all expected inputs,2024-01-08T16:01:46Z,133546,2024-04-22T07:34:08Z,81179,3,2154,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Add a rule node v2,2024-01-10T08:37:48Z,1845,2024-01-10T08:37:48Z,1845,1,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Scroll through long intermediate result table,2023-11-09T13:53:27Z,7433,2023-11-09T13:53:27Z,7433,1,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// code_not_serializable.py - 424,2023-10-04T13:56:44Z,8856,2023-10-04T13:56:44Z,8856,1,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// code_that_throws_custom_response.py - 418 - Teapot here,2023-10-26T11:58:01Z,8134,2023-10-26T11:58:01Z,8134,1,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Should be possible to add global params,2023-10-13T10:12:36Z,8590,2023-10-13T10:12:36Z,8590,1,867,LOW
cypress/e2e/decide/authoring.cy.js,Decide Authoring /// Scorecard Node,2023-10-03T11:30:22Z,8899,2023-10-03T11:30:22Z,8899,1,867,LOW
cypress/e2e/decide/authoring/versionCrudAndBaseNodes.cy.js,Version crud and nodes /// Assignment node,2024-08-19T13:49:20Z,13692,2024-08-19T13:49:20Z,13692,1,1287,LOW
cypress/e2e/decide/authoring/versionCrudAndBaseNodes.cy.js,Version crud and nodes /// Unknown version 404 ,2024-08-13T07:40:21Z,18275,2024-08-13T07:40:21Z,18275,1,1287,LOW
cypress/e2e/decide/authoring/changeHistoryRevisions.cy.js,Change history and revisions /// Revision diff view,2024-02-21T14:56:39Z,117399,2024-02-21T14:56:39Z,117399,1,1306,LOW
cypress/e2e/decide/authoring/codeNode.cy.js,CodeNode /// code_not_serializable.py - 424,2024-02-29T11:52:22Z,112098,2024-02-29T11:52:22Z,112098,1,1308,LOW
cypress/e2e/decide/datasets.cy.js,Datasets /// Create dataset from scratch and basic actions,2024-06-04T10:52:37Z,63223,2024-06-04T10:52:37Z,63223,1,1853,LOW
cypress/e2e/decide/analytics.cy.js,Test analytics.js user identification /// analytics.js & Posthog should not track users who reject analytics cookies,2024-03-13T08:46:38Z,106601,2024-03-13T08:46:38Z,106601,1,2170,LOW
