@timestamp,integration_latency
2025-12-04 16:18:49.989,2539
2025-12-04 16:18:49.689,3075
2025-12-04 16:17:04.804,1756
2025-12-04 16:17:04.101,1874
2025-12-04 16:15:47.671,6078
2025-12-04 16:15:45.645,6172
2025-12-04 16:15:29.373,4220
2025-12-04 16:15:28.380,4599
2025-12-04 16:13:46.609,3845
2025-12-04 16:13:46.188,2044
2025-12-04 16:13:43.032,420
2025-12-04 16:13:26.041,18531
2025-12-04 16:13:24.541,5807
2025-12-04 16:13:22.917,8891
2025-12-04 16:13:22.128,11829
2025-12-04 16:12:34.724,4672
2025-12-04 16:12:30.336,3986
2025-12-04 16:11:49.117,2890
2025-12-04 16:11:48.868,6526
2025-12-04 16:11:47.870,10681
2025-12-04 16:09:38.153,3697
2025-12-04 16:09:37.592,1631
2025-12-04 16:09:32.118,6710
2025-12-04 16:09:30.819,6192
2025-12-04 16:09:22.551,2285
2025-12-04 16:09:21.200,2318
2025-12-04 16:09:10.092,8503
2025-12-04 16:07:38.363,4057
2025-12-04 16:07:33.182,5359
2025-12-04 16:05:21.887,1353
2025-12-04 16:04:08.667,1732
2025-12-04 16:04:06.965,1917
2025-12-04 16:03:59.149,12755
2025-12-04 16:02:58.667,10876
2025-12-04 16:02:57.887,5510
2025-12-04 16:02:57.831,5113
2025-12-04 16:02:57.826,6769
2025-12-04 16:02:28.950,6555
2025-12-04 16:02:22.968,4506
2025-12-04 16:01:51.283,2433
2025-12-04 16:01:50.870,2448
2025-12-04 16:00:28.184,2590
2025-12-04 16:00:26.594,2709
2025-12-04 16:00:26.312,4637
2025-12-04 15:59:27.167,2042
2025-12-04 15:59:26.412,1812
2025-12-04 15:59:21.521,1800
2025-12-04 15:58:08.884,4063
2025-12-04 15:58:05.670,6101
2025-12-04 15:57:59.671,1862
2025-12-04 15:57:58.947,1931
2025-12-04 15:57:47.800,4209
2025-12-04 15:57:47.203,4084
2025-12-04 15:57:23.684,4123
2025-12-04 15:57:17.660,4649
2025-12-04 15:57:11.974,2951
2025-12-04 15:57:11.916,2993
2025-12-04 15:55:47.516,2501
2025-12-04 15:55:47.097,2826
2025-12-04 15:55:14.109,2249
2025-12-04 15:55:13.781,2655
2025-12-04 15:53:10.224,5912
2025-12-04 15:53:05.897,5617
2025-12-04 15:53:02.422,1377
2025-12-04 15:52:37.854,1809
2025-12-04 15:52:37.512,1732
2025-12-04 15:52:26.379,2171
2025-12-04 15:52:25.582,2911
2025-12-04 15:52:20.479,2387
2025-12-04 15:52:19.001,2572
2025-12-04 15:50:44.259,2561
2025-12-04 15:50:44.246,2183
2025-12-04 15:50:18.946,3474
2025-12-04 15:50:17.939,3781
2025-12-04 15:50:15.216,6332
2025-12-04 15:50:12.849,6073
2025-12-04 15:49:29.761,1872
2025-12-04 15:49:28.229,2574
2025-12-04 15:49:14.813,954
2025-12-04 15:49:13.154,1093
2025-12-04 15:47:55.181,1524
2025-12-04 15:47:00.529,2223
2025-12-04 15:46:59.886,2513
2025-12-04 15:46:13.843,8715
2025-12-04 15:46:12.834,2859
2025-12-04 15:46:12.220,2753
